"id";"product_name";"countries";"ingredients";"brands";"stores";"image_url"
"5410228169604";"Blanche";"[""France"",""Belgium"",""Netherlands""]";"{""coriandre"":""Coriandre"",""ecorces-d-orange-contient-du-malt-d-orge-et-du-froment"":""écorces d'orange. Contient du malt d'orge et du froment.""}";"[""Hoegaarden"",""InBev""]";"[""Carrefour Market"",""SuperU""]";""
;"Bière blanche";"[""Portugal""]";"{""malt-d-orge-et-froment-aromatisees-aux-epices"":""Malt d'orge et froment. aromatisées aux épices""}";"[""Hoegaarden""]";"null";""
"5410228217312";"Leffe des Vignes";"[""France""]";"{""contient-du-malt-d-orge-1-de-jus-de-raisin-blanc-a-base-de-jus-concentre"":""Contient du malt d'_orge_. 1 % de jus de raisin blanc à base de jus concentré.""}";"[""Leffe""]";"[""Carrefour""]";""
"5410228216568";"Blonde";"[""France""]";"{"""":""."",""gluten"":""_gluten_"",""biere-blonde"":""Bière blonde""}";"[""Leffe""]";"[""Simply Market""]";""
"5410228217831";"Whitbread Golding";"[""France""]";"{""houblon-whitbread-golding"":""houblon Whitbread Golding"",""malt-d-orge"":""malt d'orge""}";"[""Leffe Royale"",""Leffe"",""AB-InBev France""]";"[""SuperU""]";""
"5410228217626";"Royale Houblon Cascade IPA";"[""Belgique""]";"null";"[""Leffe""]";"null";""
"5410228215479";"Bière blonde leffe";"[""France""]";"null";"[""Leffe""]";"null";""
"5410228218067";"Blonde";"[""France""]";"{"""":""."",""biere-blonde"":""Bière blonde"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Leffe""]";"[""Netto""]";""
"5410228217602";"Royale Houblon Cascade IPA";"[""France""]";"{"""":""."",""biere"":""Bière"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Leffe""]";"[""Auchan""]";""
"5410228217367";"Bières";"[""France""]";"null";"[""hoogarden""]";"null";""
"5410228215578";"Leffe blonde";"[""France""]";"{""contient-du-malt-d-orge"":""Contient du _malt d'orge_.""}";"[""Leffe""]";"[""Casino""]";""
"5410228215530";"Leffe Blonde";"[""France""]";"null";"[""Leffe""]";"null";""
"5410228217398";"Lemon & Lime";"[""France""]";"{""malt-d-orge-et-du-froment"":""_Malt d’orge_ et du _froment_"",""jus-concentres-de-citron"":""jus concentrés de citron"",""edulcorant"":""édulcorant"",""jus-concentre-de-citron-vert"":""jus concentré de citron-vert"",""sucre"":""sucre""}";"[""Radler"",""Hoegaarden"",""InBev""]";"[""Monoprix""]";""
"5410228213048";"Rum flavoured beer";"[""France""]";"{""contient-du-malt-d-orge-et-arome"":""Contient du _malt d'orge_ et arôme.""}";"[""Cubanisto""]";"[""Casino""]";""
"5410228217596";"Leffe royale";"[""France""]";"null";"[""Leffe"",""Leffe royale""]";"null";""
"5410228174073";"Blonde";"[""France""]";"{"""":""."",""biere"":""Bière"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Leffe""]";"null";""
"5410228121169";"Bière blonde (maxi)";"[""France""]";"{"""":""."",""biere-blonde"":""Bière blonde"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Jupiler""]";"null";""
"5410228222941";"Blonde";"[""France""]";"{""malt-d-orge"":""_malt d'orge_""}";"[""Leffe"",""AB-InBev""]";"[""SuperU""]";""
"5410228220480";"Bière blonde";"[""France""]";"{""biere"":""Bière"",""contient-du-malt-d-orge"":""contient du malt d'_orge_""}";"[""Jupiler""]";"null";""
"5410228223764";"Bière blanche";"[""France""]";"{""coriandre-et-ecorce-d-orange-contient-du-malt-d-orge-et-du-froment"":""coriandre et écorce d'orange. Contient du malt d'orge et du froment."",""biere-aux-epices"":""Bière aux épices""}";"[""Hoegaarden""]";"[""Carrefour Market""]";""
"5410228225768";"Leffe Blonde";"[""France""]";"{""orge"":""_orge_"",""houblon"":""houblon."",""eau"":""Eau"",""malt-d-orge"":""malt d'_orge_"",""mais"":""maïs"",""sucre"":""sucre""}";"[""Leffe""]";"[""Carrefour Market""]";""
